ImageID,Caption,Nouns,Type
sun_afwtjfnlmpekhiub,a view of the waterfalls of the niagara falls under a blue sky,"['view', 'waterfalls', 'sky']",OOD
sun_ahuxeowgcgzxopye,a waterfall in a river flowing over rocks,"['waterfall', 'river', 'rocks']",OOD
sun_bwbdakyrmlqnqona,a dirt road next to a row of trees,"['dirt', 'road', 'row', 'trees']",OOD
sun_acviagnxrxwdlyir,a man in a kayak in a river,"['man', 'kayak', 'river']",OOD
sun_bigqvfdxpslzwlyy,a view of a vineyard with a town in the background,"['view', 'vineyard', 'town', 'background']",OOD
sun_bdbrnkofdfjmjqvz,a large green tree in a garden in front of a building,"['tree', 'garden', 'front', 'building']",OOD
sun_bsbineafjaznmtqz,a road with cars parked on the side of it,"['road', 'cars', 'side']",OOD
sun_bslafxlsqsoszwfp,a waterfall on the side of a mountain,"['waterfall', 'side', 'mountain']",OOD
sun_abqfajxgmfhwibng,a boat in the water next to an iceberg,"['boat', 'water', 'iceberg']",OOD
sun_bxollauefnmrcfji,the garden in front of the building,"['garden', 'front', 'building']",OOD
sun_btkiggkqsfpmbajv,a garden with a wooden fence and some plants,"['garden', 'fence', 'plants']",OOD
sun_awlrzcsouwcdaibe,a bamboo forest with a fence in it,"['bamboo', 'forest', 'fence']",OOD
sun_batiihujitfdmkwz,a rock climber rappelling through an arch in a rock formation,"['rock', 'climber', 'rappelling', 'arch', 'rock', 'formation']",OOD
sun_acnryoazzajdlmiv,a view of a cave with stalactites and rocks,"['view', 'cave', 'stalactites', 'rocks']",OOD
sun_bemzfzonsfxgcwbg,a river next to a hill with trees,"['river', 'hill', 'trees']",OOD
sun_acawtgnxrradyfxa,a small waterfall in the middle of a pond,"['waterfall', 'middle', 'pond']",OOD
sun_bdktuhuywbkavvzk,a golf course in the middle of the woods,"['golf', 'course', 'middle', 'woods']",OOD
sun_bixkixplfwhpywcx,a group of skiers on a ski slope in the snow,"['group', 'skiers', 'ski', 'slope', 'snow']",OOD
sun_bbsrfapqfrboxqdn,a man playing golf on a golf course,"['man', 'golf', 'golf', 'course']",OOD
sun_benkuxzbvehzaqck,a field of vines with a mountain in the background,"['field', 'vines', 'mountain', 'background']",OOD
sun_bxhosyjbwmtrsgkz,a forest of birch trees in the snow,"['forest', 'birch', 'trees', 'snow']",OOD
sun_afgbbljicvvzmlyh,a hole in the middle of a glacier with water coming out of it,"['hole', 'middle', 'glacier', 'water']",OOD
sun_apexbgidgdytwyjw,a cave with stalactites hanging from the ceiling,"['cave', 'stalactites', 'ceiling']",OOD
sun_bzvbkeujpapehoei,a waterfall plunges into the ocean on a beach,"['waterfall', 'ocean', 'beach']",OOD
sun_bodycucvmqlkeuvh,a wooded area with many trees and grass,"['area', 'trees', 'grass']",OOD
sun_bsdnohndctxdsaha,a view of a canal with boats and buildings,"['view', 'canal', 'boats', 'buildings']",OOD
sun_augiwpnmzxrwivst,a view of the sand dunes in the desert,"['view', 'sand', 'dunes', 'desert']",OOD
sun_aqdyhavppsdaicsn,a field of corn with trees in the background,"['field', 'corn', 'trees', 'background']",OOD
sun_axggxtpgenpuoaab,two people and two dogs walking on a trail in the woods,"['people', 'dogs', 'trail', 'woods']",OOD
sun_beqlkzktbsuavozo,a group of pine trees in a field with a blue sky,"['group', 'trees', 'field', 'sky']",OOD
sun_bixfyhwjvwmulihp,two boats are docked in the water in a canal,"['boats', 'water', 'canal']",OOD
sun_anabgnkubdbysmtw,a group of people standing in a cave,"['group', 'people', 'cave']",OOD
sun_bmmiqztpivjlxeqy,a windmill in the middle of a field,"['windmill', 'middle', 'field']",OOD
sun_anwxnotrvtmgnmwe,a sand dune in the desert with mountains in the background,"['sand', 'dune', 'desert', 'mountains', 'background']",OOD
sun_blopjilghtnyhnph,a canal with a boat on it and some trees,"['canal', 'boat', 'trees']",OOD
sun_akawscwnarpmqdzq,a waterfall on the side of a rock mountain,"['waterfall', 'side', 'rock', 'mountain']",OOD
sun_bdvfsuhpokltwttm,a large sand dune in the desert with sparse vegetation,"['sand', 'dune', 'desert', 'vegetation']",OOD
sun_bvbwevvnnjyszzcj,a mountain with a bench in front of it,"['mountain', 'bench', 'front']",OOD
