,ImageID,Caption,Nouns,Type
0,sun_aaaevyiuguntlerb,one of the many caves.,['caves'],OOD
1,sun_aaaxbrksvmdyrhpe,glacial icebergs slowly melting into the lake through global warming.,"['icebergs', 'lake', 'warming']",OOD
2,sun_aabdnapdlxgundoj,a tree in the middle of a meadow.,"['tree', 'middle', 'meadow']",OOD
3,sun_aabhejjpplbkgsjf,some of the trees in the field.,"['trees', 'field']",OOD
4,sun_aabnajscpqjtzuqw,waves crashing on the beach.,"['waves', 'beach']",OOD
5,sun_aaboiisrlesicibm,tourist attraction which includes caves and interior views as well as a small group of people.,"['tourist', 'attraction', 'caves', 'views', 'group', 'people']",OOD
6,sun_aabtemlmesogqbbp,tourist attraction is one of the most popular tourist attractions.,"['tourist', 'attraction', 'tourist', 'attractions']",OOD
7,sun_aaburprgspbdkmlm,a lonely tree in the middle of a field.,"['tree', 'middle', 'field']",OOD
8,sun_aabzgoowomavupwl,tourist attraction showing interior views and caves as well as a small group of people.,"['tourist', 'attraction', 'views', 'caves', 'group', 'people']",OOD
9,sun_aabztucakfyheoby,trail through the woods on a sunny day.,"['woods', 'day']",OOD
10,sun_aacbgqunsjqeatcv,a tree in the middle of a corn field.,"['tree', 'middle', 'corn', 'field']",OOD
11,sun_aacegqrsghanpufn,sunset - admire the beauty of creations.,"['sunset', 'beauty', 'creations']",OOD
12,sun_aachrbwzcgqlvynh,"a surfer paddles the surfboard before tube riding a wave, tries to maintain balance but loses and falls into water.","['surfer', 'surfboard', 'tube', 'wave', 'balance', 'water']",OOD
13,sun_aacjktmrhydsnuto,tourist attraction which includes interior views and caves as well as a small group of people.,"['tourist', 'attraction', 'views', 'caves', 'group', 'people']",OOD
14,sun_aaclxutvocldyldo,an iceberg floating off the coast.,"['iceberg', 'coast']",OOD
15,sun_aacsyfzmhxfiqnkh,the trail to the top of the mountain.,"['trail', 'top', 'mountain']",OOD
16,sun_aactdkoosrrhjqcd,corn field in the wind.,"['corn', 'field', 'wind']",OOD
17,sun_aacxjdyothvyafjs,the entrance to the cave.,"['entrance', 'cave']",OOD
18,sun_aacykkmwtykjfldf,palm trees in the rainforest.,"['palm', 'trees', 'rainforest']",OOD
19,sun_aadbmpmxxatythtm,the icebreaker is dwarfed by the massive icebergs.,"['icebreaker', 'icebergs']",OOD
20,sun_aaddlugegruqrhqt,an ice floe is seen in this undated handout photo provided by spacecraft manufacturer.,"['ice', 'floe', 'handout', 'photo', 'spacecraft', 'manufacturer']",OOD
21,sun_aadfkenqeixsswhx,tourist attraction showing a cave or cave and interior views as well as a small group of people.,"['tourist', 'attraction', 'cave', 'cave', 'views', 'group', 'people']",OOD
22,sun_aadjawzwvnwnkvjo,view of the garden from the front door.,"['view', 'garden', 'door']",OOD
23,sun_aadjujhlnmtjoegt,view of the house from the lake.,"['view', 'house', 'lake']",OOD
24,sun_aadkehivpcchisvr,one of the many waterfalls.,['waterfalls'],OOD
25,sun_aaebeslnjbpbmsnb,climbing to the top of a glacier.,"['top', 'glacier']",OOD
26,sun_aaegrbxogokacwmz,panning shot of a banyan tree.,"['shot', 'banyan', 'tree']",OOD
27,sun_aaehdjnttebqedol,painting of a stormy sea.,"['painting', 'sea']",OOD
28,sun_aaeoijzygsllimwl,lighthouse on the sea in the evening.,"['lighthouse', 'sea', 'evening']",OOD
29,sun_aaeomwfhrnyhyytq,a lone tree in the middle of a field.,"['tree', 'middle', 'field']",OOD
30,sun_aaeonpcwemmakdap,tourist attraction showing interior views and caves as well as a small group of people.,"['tourist', 'attraction', 'views', 'caves', 'group', 'people']",OOD
31,sun_aaetebtkjxzlugai,time lapse of clouds moving over a field.,"['time', 'lapse', 'clouds', 'field']",OOD
32,sun_aafcenazuuykcysr,digital art selected for the #.,"['art', '#']",OOD
33,sun_aafdsgxdpvduwusj,small waterfall in the garden.,"['waterfall', 'garden']",OOD
34,sun_aaficjpvcqagdksb,the path to the beach.,"['path', 'beach']",OOD
35,sun_aafjjnugpsuiktvh,wheat growing in a field.,"['wheat', 'field']",OOD
36,sun_aaflmulbtigwigtw,a river flows through a forested area.,"['river', 'area']",OOD
37,sun_aafqfjpechscyidz,aerial view of sand dunes in the desert.,"['view', 'sand', 'dunes', 'desert']",OOD
38,sun_aaftrsomnraltfsi,tourist attraction showing a forest and hiking or walking as well as a small group of people.,"['tourist', 'attraction', 'forest', 'hiking', 'walking', 'group', 'people']",OOD
39,sun_aafxxheamiukhuop,a muddy trail in the middle of a forest.,"['trail', 'middle', 'forest']",OOD
40,sun_aafymxvlnrmlbzdm,river flowing through a city.,"['river', 'city']",OOD
41,sun_aafzgakyteziydrw,vegetables growing in a vegetable garden.,"['vegetables', 'vegetable', 'garden']",OOD
42,sun_aafzqvlgregcdhmq,looking down from the top of the cave.,"['top', 'cave']",OOD
43,sun_aagkrwwxayqfeara,winter wonderland in the woods.,"['winter', 'wonderland', 'woods']",OOD
44,sun_aaglmeoytxxwabhl,a surfer rides a wave.,"['surfer', 'wave']",OOD
45,sun_aagmhmrjglsylbay,tourist attraction on the way.,"['attraction', 'way']",OOD
46,sun_aagplssxsrfcuzsk,fishing on a lake in the mountains.,"['lake', 'mountains']",OOD
47,sun_aagvwgntclshghai,design ideas for a traditional water fountain landscape.,"['design', 'ideas', 'water', 'fountain', 'landscape']",OOD
48,sun_aagxuxuhykxuovev,"i'm not sure what this is, but it's a sign.",['sign'],OOD
49,sun_aagzczontectgtzw,trees reflected in the water.,"['trees', 'water']",OOD
50,sun_aahcmgfrmcokhjel,a waterfall in the forest.,"['waterfall', 'forest']",OOD
51,sun_aahexoaqdioqftdp,a view of the snow - covered beach.,"['view', 'snow', 'beach']",OOD
52,sun_aahfwwaqscmctvmp,geographical feature category in the world.,"['feature', 'category', 'world']",OOD
