,ImageID,Caption,Nouns,Type
0,ILSVRC2012_val_00002338,biggest shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
1,ILSVRC2012_val_00002752,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
2,ILSVRC2012_val_00004311,biggest fish in the world ever caught - photo #.,"['fish', 'world', 'photo', '#']",OOD
3,ILSVRC2012_val_00004329,whale shark in the water - photo #.,"['shark', 'water', 'photo', '#']",OOD
4,ILSVRC2012_val_00006491,biggest great white sharks in the world - photo #.,"['sharks', 'world', 'photo', '#']",OOD
5,ILSVRC2012_val_00008848,a great white shark in the water.,"['shark', 'water']",OOD
6,ILSVRC2012_val_00014467,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
7,ILSVRC2012_val_00015157,killer whales off the coast.,"['killer', 'whales', 'coast']",OOD
8,ILSVRC2012_val_00015220,biological species in the water.,"['species', 'water']",OOD
9,ILSVRC2012_val_00016168,biological species - the most dangerous shark in the world - photo #.,"['species', 'shark', 'world', 'photo', '#']",OOD
10,ILSVRC2012_val_00016859,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
11,ILSVRC2012_val_00016988,biological species off the coast.,"['species', 'coast']",OOD
12,ILSVRC2012_val_00017105,person poses with a giant shark.,"['person', 'shark']",OOD
13,ILSVRC2012_val_00017194,underwater photo of a great white shark.,"['photo', 'shark']",OOD
14,ILSVRC2012_val_00019409,biological species in the wild - photo #.,"['species', 'photo', '#']",OOD
15,ILSVRC2012_val_00019435,a great white shark off the coast.,"['shark', 'coast']",OOD
16,ILSVRC2012_val_00020011,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
17,ILSVRC2012_val_00023185,biggest shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
18,ILSVRC2012_val_00024940,a great white shark swimming in the ocean.,"['shark', 'swimming', 'ocean']",OOD
19,ILSVRC2012_val_00025900,a great white shark swims through the water.,"['shark', 'water']",OOD
20,ILSVRC2012_val_00027063,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
21,ILSVRC2012_val_00027419,biological species in the water.,"['species', 'water']",OOD
22,ILSVRC2012_val_00027514,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
23,ILSVRC2012_val_00028028,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
24,ILSVRC2012_val_00029481,biggest great white shark in the world ever recorded - photo #.,"['shark', 'world', 'photo', '#']",OOD
25,ILSVRC2012_val_00030127,biological subfamily in the water.,['water'],OOD
