,ImageID,Caption,Nouns,Type
0,ILSVRC2012_val_00001935,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
1,ILSVRC2012_val_00002284,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
2,ILSVRC2012_val_00002480,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
3,ILSVRC2012_val_00003518,person checking out the fish in the water.,"['person', 'fish', 'water']",OOD
4,ILSVRC2012_val_00004873,fish swimming in the sea.,"['fish', 'sea']",OOD
5,ILSVRC2012_val_00005642,water flowing from the fountains.,"['water', 'fountains']",OOD
6,ILSVRC2012_val_00006402,one of the many fish we saw along the way.,"['fish', 'way']",OOD
7,ILSVRC2012_val_00008952,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
8,ILSVRC2012_val_00009734,underwater photo of a scuba diver.,"['photo', 'scuba', 'diver']",OOD
9,ILSVRC2012_val_00012259,raindrops on the sand by person on 500px.,"['raindrops', 'sand', 'person', '500px']",OOD
10,ILSVRC2012_val_00013655,fish swimming in the sea.,"['fish', 'sea']",OOD
11,ILSVRC2012_val_00014771,a close - up of a fish swimming in the water.,"['close', 'up', 'fish', 'water']",OOD
12,ILSVRC2012_val_00015045,"i'm not sure what kind of animal this is, but it sure looks like a dolphin!.","['kind', 'animal', 'dolphin']",OOD
13,ILSVRC2012_val_00015373,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
14,ILSVRC2012_val_00021793,biological species swims under the surface of the water.,"['species', 'surface', 'water']",OOD
15,ILSVRC2012_val_00023239,family fun at the pool.,"['family', 'fun', 'pool']",OOD
16,ILSVRC2012_val_00024204,a close - up of a whale shark.,"['close', 'up', 'whale', 'shark']",OOD
17,ILSVRC2012_val_00024719,swimming with a few dolphins.,['dolphins'],OOD
18,ILSVRC2012_val_00025051,shark swimming under the surface of the water.,"['shark', 'surface', 'water']",OOD
19,ILSVRC2012_val_00026908,biggest fish in the world ever caught - photo #.,"['fish', 'world', 'photo', '#']",OOD
20,ILSVRC2012_val_00027005,sea turtles swimming in the clear waters.,"['sea', 'turtles', 'waters']",OOD
21,ILSVRC2012_val_00027415,biological species in a tank.,"['species', 'tank']",OOD
22,ILSVRC2012_val_00028450,biological species on a coral reef.,"['species', 'coral', 'reef']",OOD
23,ILSVRC2012_val_00029169,biological species at the aquarium.,"['species', 'aquarium']",OOD
