,ImageID,Caption,Nouns,Type
0,ILSVRC2012_val_00000498,biological species is one of the largest fish in the world.,"['species', 'fish', 'world']",OOD
1,ILSVRC2012_val_00002774,biological species in the wild.,"['species', 'wild']",OOD
2,ILSVRC2012_val_00003189,biological species is the largest lizard in the world.,"['species', 'lizard', 'world']",OOD
3,ILSVRC2012_val_00003702,biological species on a log.,"['species', 'log']",OOD
4,ILSVRC2012_val_00005698,biological species is one of the most common frogs found.,"['species', 'frogs']",OOD
5,ILSVRC2012_val_00005868,biological species on a leaf in the rainforest.,"['species', 'leaf', 'rainforest']",OOD
6,ILSVRC2012_val_00006331,biological species in a glass container.,"['species', 'glass', 'container']",OOD
7,ILSVRC2012_val_00006582,red lemurs in the rainforest - photo #.,"['rainforest', 'photo', '#']",OOD
8,ILSVRC2012_val_00006844,biological species on a rock.,"['species', 'rock']",OOD
9,ILSVRC2012_val_00007257,biological species in the water.,"['species', 'water']",OOD
10,ILSVRC2012_val_00007288,biological species is one of the most common gecko species.,"['species', 'gecko', 'species']",OOD
11,ILSVRC2012_val_00007528,a close up of biological species.,"['close', 'species']",OOD
12,ILSVRC2012_val_00007561,biological species in a tank.,"['species', 'tank']",OOD
13,ILSVRC2012_val_00007904,biological species basking in the sun.,"['species', 'sun']",OOD
14,ILSVRC2012_val_00008249,biological species is one of the most venomous snakes in the world.,"['species', 'snakes', 'world']",OOD
15,ILSVRC2012_val_00009000,a close up of biological species.,"['close', 'species']",OOD
16,ILSVRC2012_val_00009670,fish that look like other animals - photo #.,"['fish', 'animals', 'photo', '#']",OOD
17,ILSVRC2012_val_00011650,biological species is one of the world's most rare and endangered species.,"['species', 'world', 'species']",OOD
18,ILSVRC2012_val_00015274,biological species is one of the most venomous snakes in the world.,"['species', 'snakes', 'world']",OOD
19,ILSVRC2012_val_00016183,biological species on a rock.,"['species', 'rock']",OOD
20,ILSVRC2012_val_00016422,biological species in a bucket.,"['species', 'bucket']",OOD
21,ILSVRC2012_val_00016695,biological species on a rock.,"['species', 'rock']",OOD
22,ILSVRC2012_val_00019780,crocodile walking on the water.,"['crocodile', 'water']",OOD
23,ILSVRC2012_val_00020393,close - up of a green frog.,"['close', 'up', 'frog']",OOD
24,ILSVRC2012_val_00020696,dead snake on the road.,"['snake', 'road']",OOD
25,ILSVRC2012_val_00021017,biological species is one of the rarest and most endangered species of frogs in the world.,"['species', 'species', 'frogs', 'world']",OOD
26,ILSVRC2012_val_00021083,a close - up of biological species.,"['close', 'up', 'species']",OOD
27,ILSVRC2012_val_00023488,biological species on a log.,"['species', 'log']",OOD
28,ILSVRC2012_val_00023932,biological species is one of the rarest and most endangered species of lizard.,"['species', 'species', 'lizard']",OOD
29,ILSVRC2012_val_00026773,lizard basking in the sun.,"['lizard', 'sun']",OOD
30,ILSVRC2012_val_00027269,biological species in a tank.,"['species', 'tank']",OOD
31,ILSVRC2012_val_00029511,biological species on a rock.,"['species', 'rock']",OOD
32,ILSVRC2012_val_00029854,fish in a fish tank.,"['fish', 'fish', 'tank']",OOD
33,ILSVRC2012_val_00031919,a dragonfly rests on a rock.,"['dragonfly', 'rock']",OOD
34,ILSVRC2012_val_00032171,a close - up of a fish.,"['close', 'up', 'fish']",OOD
35,ILSVRC2012_val_00032864,biological species in the rain.,"['species', 'rain']",OOD
36,ILSVRC2012_val_00033261,biological species on a tree.,"['species', 'tree']",OOD
37,ILSVRC2012_val_00034124,close - up of a fish swimming in a tank.,"['up', 'fish', 'tank']",OOD
38,ILSVRC2012_val_00038449,lizard on a rock in the forest.,"['rock', 'forest']",OOD
39,ILSVRC2012_val_00038742,biological species is one of the most venomous snakes in the world.,"['species', 'snakes', 'world']",OOD
40,ILSVRC2012_val_00040174,biological species is one of the most common frogs in the world.,"['species', 'frogs', 'world']",OOD
41,ILSVRC2012_val_00043049,smallest lizard in the world - photo #.,"['lizard', 'world', 'photo', '#']",OOD
42,ILSVRC2012_val_00045101,biological species on a rock.,"['species', 'rock']",OOD
