8	a blurry picture of a table in a room.	ship
16	a blurry picture of a truck in the background.	truck
24	a blurry image of a colorful background with a blurred object.	bird
32	a blurred image of a toy truck on a street.	automobile
40	a blurry picture of a dog looking at the camera.	dog
48	a blurry picture of a pole in front of a window.	bird
56	a small dog is sitting on a blanket.	dog
64	a blurry picture of a purple bed in a room.	automobile
72	a close up of a black cat's face.	frog
80	a blurry picture of a building in the background.	cat
88	a close up of a purple background with a blurry object.	truck
96	a blurry picture of a table in a room.	automobile
104	a blurry picture of a green object in the dark.	frog
112	a blurred picture of a toy car in a room.	automobile
120	a blurry picture of a cat flying in the air.	bird
128	a blurry picture of a cat standing on a table.	dog
136	a blurry picture of a purple truck in the background.	automobile
144	a blurry picture of a blue object in the background.	bird
152	a blurred picture of a building in the background.	horse
160	a blurred image of a building with a bottle.	automobile
168	a blurry picture of a kitchen with a white truck in the background.	automobile
176	a blurry image of a woman in a room.	automobile
184	a blurred picture of a blue toy car.	automobile
192	a blurry picture of a white piano keyboard.	ship
200	a blurry image of a green building in the background.	frog
208	a close up of a purple truck in the background.	truck
216	a blurry picture of a cityscape in the background.	ship
224	a blurry picture of a cat in a tree.	frog
232	a blurry picture of a cat in the green background.	frog
240	a blurry photo of a house in the background.	ship
248	a blurry image of a building in the background.	frog
256	a blue toy bird is in the background.	horse
264	a blurry picture of a plane flying in the sky.	airplane
272	a blurry image of a parking meter in the rain.	deer
280	a blurry picture of a building in the background.	ship
288	a blurry picture of a bird flying in the air.	bird
296	a blurry picture of a bird standing in the rain.	deer
304	the back of a white truck in the blurred background.	automobile
312	a white car parked in a parking lot.	automobile
320	a blurry picture of a fence with a blurry background.	horse
328	a blurry picture of a white object in the distance.	ship
336	a blurry picture of a deer in the grass.	deer
344	a blurry picture of a person standing in a room.	airplane
352	a blurry picture of a building in the background.	airplane
360	a close up of a blue and white object.	truck
368	a blurry picture of a tree in the background.	frog
376	a blurry picture of a city street with buildings.	airplane
384	a blurry picture of a blue sky in the background.	cat
392	a blurry picture of a building in the background.	airplane
400	a blurry picture of a bird sitting on a piano.	bird
408	a blurry picture of a building in the background.	truck
416	a blurry picture of a person in a room.	cat
424	a blurry picture of a cat in a room.	dog
432	a blurry picture of a white car driving down a street.	automobile
440	a blurry picture of a cat with its eyes closed.	horse
448	a blurry picture of a train on the tracks.	airplane
456	a blurry picture of a shelf in a room.	ship
464	a blurry picture of a black and white cat.	frog
472	a blurry picture of a building in the background.	truck
480	a blurry picture of a kitchen in a house.	truck
488	a blurry image of a window with a tree.	frog
496	a blurry picture of a desk with a computer.	ship
504	a black and white picture of a bird in the air.	airplane
512	a blurry picture of a building in the background.	truck
520	a blurry picture of a building in the background.	deer
