d_desert_sand_00002805	a couple of people standing in front of a building on a desert.	desert
g_grotto_00003373	a man is diving into a large tank of water.	grotto
g_glacier_00003467	a large snow covered mountain with a few snow covered rocks.	glacier
r_rice_paddy_00004276	a close up of tall green grass.	rice
b_badlands_00003651	a group of rocks and snow on a mountain.	badlands
c_canal_natural_00002507	a river with several houses on the side of it.	canal
Places365_val_00016824	a small body of water with grass and tall weeds.	val
s_swamp_00004877	a wooden cabin on a lake with trees.	swamp
b_badlands_00002497	a road sign in the snow next to a fence.	badlands
d_desert_vegetation_00001801	a group of trees in the middle of a desert.	desert
j_japanese_garden_00001979	a couple of people walking through a park.	japanese
r_rice_paddy_00003607	a group of people walking down a trail with a dog.	rice
f_forest_path_00003297	a dirt path in the middle of a forest.	forest
t_tree_farm_00000955	a view of a mountain with trees and mountains in the background.	tree
l_lawn_00001579	a group of children sitting in the grass.	lawn
s_swimming_hole_00001196	a river with a mountain in the background.	swimming
s_swimming_hole_00000529	a bunch of fish swimming in a pond.	swimming
s_swamp_00000804	a group of people and kayaks on the grass near a lake.	swamp
r_rice_paddy_00002347	a large field with a river and a tree.	rice
w_wave_00003694	a man riding a wave on a surfboard in the ocean.	wave
r_rice_paddy_00003774	a person is standing in a large field of grass.	rice
b_bamboo_forest_00004532	a group of people standing in the water near a river.	bamboo
s_sky_00003902	a view of mountains with clouds in the sky.	sky
f_forest_road_00000316	a group of people standing next to two cars on a road.	forest
l_lawn_00003147	a white fence in the grass next to a tree.	lawn
s_sky_00001779	a view of a desert with a blue sky.	sky
s_snowfield_00004641	a snow covered field with trees and a dark sky.	snowfield
c_canal_urban_00004107	a statue of a person sitting next to a river with boats.	canal
r_river_00003817	a red building on the side of a river.	river
t_topiary_garden_00004498	a row of hedges in front of a church.	topiary
c_corn_field_00001669	a large field of green plants in the sun.	corn
f_forest_broadleaf_00004510	a group of trees in the middle of a forest.	forest
l_lagoon_00002642	a man sitting in a small boat in the water.	lagoon
c_crevasse_00001100	a large snow covered mountain with a large glacier.	crevasse
c_creek_00001713	a small stream of water in a forest.	creek
f_field_wild_00002582	a field of flowers with blue and yellow flowers.	field
c_creek_00002943	a stream of water with rocks and leaves.	creek
s_snowfield_00003484	a large snow covered mountain range with a river.	snowfield
o_orchard_00000854	a group of trees in a snow covered field.	orchard
s_ski_slope_00003861	a group of people pushing a snowmobile in the snow.	ski
g_glacier_00000247	a man sitting on a mountain top looking at the snow.	glacier
d_desert_road_00000577	a group of people walking down a dirt road.	desert
s_sky_00000726	a large desert field with a tent on it.	sky
f_forest_road_00001683	a snow covered street with trees and buildings.	forest
s_snowfield_00003584	a snow covered mountain with trees and snow.	snowfield
m_marsh_00000125	a woman sitting on a rock in the water.	marsh
j_japanese_garden_00000360	a sidewalk in a park with trees and grass.	japanese
c_crevasse_00000642	a large snow covered mountain with a large glacier.	crevasse
t_topiary_garden_00004120	a garden with flowers and a statue in the middle of it.	topiary
c_canal_urban_00002666	a city street with a river and a building.	canal
s_ski_slope_00002154	a snow covered mountain with a blue sky.	ski
i_islet_00002297	a aerial view of a island in the middle of the ocean.	islet
t_trench_00001846	a woman wearing a hat sitting on a hill.	trench
g_grotto_00003011	a view of a body of water through a rock tunnel.	grotto
o_orchard_00000776	a view of the sun shining through the trees.	orchard
o_orchard_00002379	a group of trees in a field.	orchard
r_rainforest_00004543	a man and a dog walking through a forest with a fallen tree.	rainforest
i_iceberg_00004079	a large white swan is swimming in the water.	iceberg
f_forest_path_00000339	a black suv parked on a dirt road in the woods.	forest
f_forest_path_00002257	a snow covered path in the middle of a forest.	forest
s_snowfield_00001441	a snow covered hill with two trees on top of it.	snowfield
r_rock_arch_00004971	a view of a building through a window in a desert.	rock
r_rock_arch_00004160	a view of the inside of a rock formation.	rock
f_forest_broadleaf_00003081	a grassy hill with a tree on the side of it.	forest
i_iceberg_00004894	a snow covered mountain sitting next to the ocean.	iceberg
t_trench_00003589	a couple of men working in a field with a tractor.	trench
Places365_val_00029880	a bird walking in the water at the beach.	val
l_lagoon_00003869	a small sail boat in the ocean with a yellow sail.	lagoon
h_hayfield_00004437	a small building in a field with a sky background	hayfield
i_iceberg_00004245	a large snow covered iceberg with birds on it.	iceberg
w_wheat_field_00000852	a couple of buildings in a field with a mountain in the background.	wheat
t_topiary_garden_00004758	a woman in a white dress standing in the grass.	topiary
r_rock_arch_00002231	a view of the top of a large rock formation.	rock
p_pond_00004055	a small body of water with trees and grass.	pond
i_ice_shelf_00002195	a large glacier is in the middle of a body of water.	ice
f_field_wild_00004921	a close up of a white spider on a branch.	field
p_pond_00001850	a large body of water with a dock and ducks.	pond
o_orchard_00001951	a small tree in the middle of a field.	orchard
t_tundra_00002133	a black and white photo of a mountain range.	tundra
c_canal_natural_00004792	a man is on a small boat in the water.	canal
t_topiary_garden_00000634	a large park with trees and graves in it.	topiary
r_rice_paddy_00003715	a house behind a green field with tall grass.	rice
i_ice_shelf_00004150	a view of the side of a boat on the water.	ice
o_ocean_00001345	a view of the ocean from a beach.	ocean
c_canal_urban_00003650	a bird standing on top of a cone in the water.	canal
b_bamboo_forest_00004186	a woman wearing a gray dress and a smile.	bamboo
t_trench_00001656	a group of bronze statues of bears sitting on rocks.	trench
t_tree_farm_00002953	a large green plant in a field.	tree
i_igloo_00001763	a man and a woman standing in the snow.	igloo
p_pond_00002734	a moose standing in the water in a river.	pond
s_snowfield_00004655	a snow covered mountain with a town in the distance.	snowfield
t_topiary_garden_00000077	a large tree with green bushes on top of a building.	topiary
r_rainforest_00003273	a large group of ferns in a forest.	rainforest
i_ice_shelf_00002924	a man sitting on a boat in the water near a mountain.	ice
r_rainforest_00000251	a stream of water with rocks and trees in the background.	rainforest
g_grotto_00004941	a waterfall in a park with rocks and water.	grotto
f_field_wild_00001729	a yellow flower in the middle of green leaves.	field
f_forest_path_00002066	a man standing on a path in the woods.	forest
i_ice_floe_00002394	a couple of people walking on a beach next to a large glacier.	ice
i_igloo_00004206	a young child standing in the snow with snowmen.	igloo
w_waterfall_00001043	a waterfall in the middle of a forest with a bridge.	waterfall
f_forest_path_00004494	a dirt road in the middle of a field with trees.	forest
g_grotto_00003272	a close up of a waterfall in a cave.	grotto
i_igloo_00003209	a snow covered ice ball in a barn.	igloo
i_ice_shelf_00002656	a group of people walking on a beach in front of a city.	ice
f_forest_road_00004933	a path through a forest with trees and a fence.	forest
f_formal_garden_00004363	a park with benches and flowers and trees.	formal
b_bamboo_forest_00003928	a man standing next to a wooden fence.	bamboo
i_ice_floe_00004466	a close up of a wall covered in snow.	ice
f_forest_broadleaf_00001077	a group of trees in a forest with leaves.	forest
r_rock_arch_00002353	a group of large rocks in the desert.	rock
i_igloo_00001635	a black dog standing in the snow.	igloo
c_canal_natural_00001996	a river with a bridge and trees on the side.	canal
c_corn_field_00000812	a dirt road in a field with a white house.	corn
l_lagoon_00001416	a body of water with trees and bushes on the bank.	lagoon
t_tundra_00004333	a group of people standing on rocks near a river.	tundra
d_desert_vegetation_00003141	a person riding a motorcycle on a dirt road.	desert
f_field_road_00003201	a dirt road in the middle of a forest.	field
j_japanese_garden_00001574	a red bridge in the middle of a forest.	japanese
f_field_cultivated_00002359	a couple of tractors are working in a field.	field
d_desert_sand_00002359	a palm tree in the middle of a desert.	desert
f_field_wild_00003792	a large turkey and a small bird in a field of grass.	field
w_wave_00003602	a group of people riding a wave in the ocean.	wave
i_ice_floe_00002003	a group of icebergs in the water in a lake.	ice
f_field_wild_00003958	a person riding a horse over a fence.	field
h_hayfield_00003010	a couple of animals in a field near a building.	hayfield
f_forest_broadleaf_00004430	a group of trees in a forest with grass.	forest
b_bamboo_forest_00003771	a bunch of green plants growing in a field.	bamboo
b_bamboo_forest_00003624	a pink flower is sitting in the grass.	bamboo
f_field_wild_00004907	a group of orange flowers in a field.	field
t_tundra_00002270	a white truck driving on a desert road.	tundra
o_ocean_00004586	a tree with a pole in the middle of it.	ocean
g_grotto_00003324	a man is paddling a canoe in the water.	grotto
u_underwater_ocean_deep_00004615	a person in a scuba suit diving in the water with fish.	underwater
s_ski_slope_00002208	a black and white photo of a mountain with a building.	ski
c_crevasse_00003260	a group of snow covered mountains with a bunch of ice.	crevasse
i_ice_shelf_00000322	a group of people walking on a beach in the snow.	ice
c_creek_00000156	a waterfall in the woods with a rock.	creek
i_islet_00000628	a group of rocks in the water on a beach.	islet
p_pond_00000529	a chinese pavilion sitting on top of a lake.	pond
c_corn_field_00000756	a large field of yellow flowers in a field.	corn
v_vegetable_garden_00004439	a bunch of pink and yellow flowers in a park.	vegetable
v_vegetable_garden_00002927	a bunch of flowers in a garden.	vegetable
w_wave_00003912	a person riding a wave on a surfboard in the ocean.	wave
i_ice_floe_00002909	a small baby chicken sitting on a bed.	ice
t_tundra_00004346	a group of people hiking up a steep hill.	tundra
p_pond_00002749	a small river in a field with a mountain in the background.	pond
i_ice_floe_00004368	a close up of a large body of water with snow.	ice
f_field_road_00000210	a dirt road in a field with power poles.	field
r_river_00003985	a couple of swans are flying over a lake.	river
s_swimming_hole_00003445	a small river with a bridge over it.	swimming
v_vegetable_garden_00002845	a garden with chairs and plants in it.	vegetable
h_hayfield_00001981	a large herd of animals in a field with mountains in the background.	hayfield
i_islet_00000045	a view of the ocean from a boat on the water.	islet
t_trench_00000538	a man is working on a hole in the ground.	trench
f_field_wild_00000904	a purple flower is sitting in the grass.	field
r_rainforest_00004194	a large body of water surrounded by trees.	rainforest
t_tree_farm_00003069	a house and a street with a cloudy sky.	tree
f_field_cultivated_00001372	a farm with a field and a road.	field
i_iceberg_00003588	a picture of a snow covered street with a blurry background.	iceberg
r_rock_arch_00003438	a view of the inside of a mountain with a hole in it.	rock
i_iceberg_00000002	two large icebergs in the middle of a body of water.	iceberg
i_islet_00000083	a house on a dock in the middle of a lake.	islet
c_corn_field_00004776	a large field of tall grass with a blue sky.	corn
b_badlands_00003722	a large green field with trees and a sky	badlands
s_ski_slope_00002212	a person walking down a snow covered ski slope.	ski
f_formal_garden_00003445	a garden with many different types of bushes and trees.	formal
d_desert_vegetation_00001034	a young boy standing on a dirt path.	desert
d_desert_sand_00003447	a large desert area with mountains in the background.	desert
t_trench_00003308	a wooden sign in the middle of a garden.	trench
w_wave_00000121	a view of the ocean with waves crashing on the shore.	wave
f_field_wild_00003164	a small white horse standing in a field.	field
i_ice_shelf_00003383	a group of people walking on a frozen lake.	ice
g_grotto_00004415	a dark tunnel with a box in it.	grotto
w_wave_00001806	a flock of birds flying over the ocean.	wave
d_desert_vegetation_00000043	a group of trees in the middle of a desert.	desert
w_wheat_field_00002656	a large field of tall grass with a sky in the background.	wheat
i_islet_00000335	a sandy beach with a hill in the background.	islet
