ImageID,Caption,Nouns,Type
sun_ajljmwtuoocxnauo,a group of people standing in a cave,"['group', 'people', 'cave']",OOD
sun_ahhwjlnfifjwwzbt,a gap between two large rocks with water flowing between them,"['gap', 'rocks', 'water']",OOD
sun_btslgvzlfkyotclw,a view of a farm with a barn and a vineyard,"['view', 'farm', 'barn', 'vineyard']",OOD
sun_biajzyfioqefwzhb,a bird flying over a body of water,"['bird', 'body', 'water']",OOD
sun_cesygrhjsglcpajw,a small island with trees in the middle of the water,"['island', 'trees', 'middle', 'water']",OOD
sun_bhntgvnxdpwnnqmf,a river with buildings on the other side and a bridge,"['river', 'buildings', 'side', 'bridge']",OOD
sun_bqniabnciigjyvfp,a body of water with mountains in the background,"['body', 'water', 'mountains', 'background']",OOD
sun_bwsbevwaatqmijpp,a row of grape vines in a vineyard with green grass,"['row', 'grape', 'vines', 'vineyard', 'grass']",OOD
sun_aqvtkpgafrqvlala,a small waterfall in a river,"['waterfall', 'river']",OOD
sun_asoslkyvaokenrgf,a road with two yellow lines in the middle of a forest,"['road', 'lines', 'middle', 'forest']",OOD
sun_abzmppmowwqdcqov,an aerial view of a field of crops with the ocean in the background,"['view', 'field', 'crops', 'ocean', 'background']",OOD
sun_bkgrpfbkcqbhrbkx,a waterfall in the mountains with a blue sky,"['waterfall', 'mountains', 'sky']",OOD
sun_bvchxwnpyeghkxeb,mangrove trees in the water in a flooded field,"['mangrove', 'trees', 'water', 'field']",OOD
sun_bsrlckehxbacdyep,a garden with white and yellow flowers on a green field,"['garden', 'flowers', 'field']",OOD
sun_amhpiqufdwuxzrnn,a path in a park with trees and bushes,"['path', 'park', 'trees', 'bushes']",OOD
sun_acuholkqaqasmsas,a group of tall trees in a forest,"['group', 'trees', 'forest']",OOD
sun_bmoouvnnsnxypsla,a road and some rock formations in the desert,"['road', 'rock', 'formations', 'desert']",OOD
sun_aqwcuvhacawzbrxt,a field of grass with a fence and trees in the background,"['field', 'grass', 'fence', 'trees', 'background']",OOD
sun_asgievjzvmmedifn,a row of red apples on a tree in the snow,"['row', 'apples', 'tree', 'snow']",OOD
sun_aohwrnunyqyrmndy,a surfer riding a wave in the ocean,"['surfer', 'wave', 'ocean']",OOD
sun_aukkmetnkwxwhwil,a path in the woods with a tree,"['path', 'woods', 'tree']",OOD
