ImageID,Caption,Nouns,Type
scaly_0166,a close up of a rug with a pattern on it,"['close', 'rug', 'pattern']",OOD
scaly_0208,a close up of a blue quilt with a pattern on it,"['close', 'quilt', 'pattern']",OOD
scaly_0160,a close up of a gold and blue fish,"['close', 'gold', 'fish']",OOD
scaly_0139,a close up of the feathers of a blue coral,"['close', 'feathers', 'coral']",OOD
scaly_0204,a close up of a table with a net on it,"['close', 'table', 'net']",OOD
scaly_0136,a close up of a screen with a pattern on it,"['close', 'screen', 'pattern']",OOD
scaly_0213,a close up of a peacock feather wool blanket,"['close', 'peacock', 'feather', 'wool', 'blanket']",OOD
scaly_0178,a close up of a piece of leather with a pattern,"['close', 'piece', 'leather', 'pattern']",OOD
scaly_0146,a pool of water with a chain link fence,"['pool', 'water', 'chain', 'link', 'fence']",OOD
scaly_0171,a close up of a glass table with coins on it,"['close', 'glass', 'table', 'coins']",OOD
scaly_0219,a close up of the inside of a fish container,"['close', 'inside', 'fish', 'container']",OOD
scaly_0181,a view of a window through a metal screen,"['view', 'window', 'metal', 'screen']",OOD
scaly_0215,a close up of a piece of metal fencing,"['close', 'piece', 'metal', 'fencing']",OOD
scaly_0168,a cross made out of a chain link fence,"['cross', 'chain', 'link', 'fence']",OOD
scaly_0173,a close up of a glass of water with diamonds on it,"['close', 'glass', 'water', 'diamonds']",OOD
scaly_0205,a close up of a crocodile skin covered in water,"['close', 'crocodile', 'skin', 'water']",OOD
scaly_0189,a close up of a pile of knitted yarn,"['close', 'pile', 'yarn']",OOD
scaly_0198,a fish that is in a glass bowl,"['fish', 'glass', 'bowl']",OOD
scaly_0209,a bunch of bananas stacked on top of each other,"['bunch', 'bananas', 'top']",OOD
scaly_0186,a close up of a orange bird feathers,"['close', 'bird', 'feathers']",OOD
scaly_0147,a close up of a green fish,"['close', 'fish']",OOD
scaly_0150,a close up of a quilt on a table,"['close', 'quilt', 'table']",OOD
scaly_0145,a close up of the underside of a roof covered in leaves,"['close', 'underside', 'roof', 'leaves']",OOD
scaly_0212,a close up of the top of a tennis court,"['close', 'top', 'tennis', 'court']",OOD
scaly_0159,a closeup of the surface of a fish,"['closeup', 'surface', 'fish']",OOD
scaly_0112,a close up of a brown rug with a giraffe on it,"['close', 'rug', 'giraffe']",OOD
scaly_0106,a fish laying on top of a metal shell,"['fish', 'top', 'metal', 'shell']",OOD
scaly_0221,a close up of a snakeskin pattern on a pool of water,"['close', 'pattern', 'pool', 'water']",OOD
scaly_0217,a close up of a metal door with rivets,"['close', 'metal', 'door', 'rivets']",OOD
scaly_0196,a close up of a green clutch bag with a gold clasp,"['close', 'clutch', 'bag', 'gold', 'clasp']",OOD
scaly_0105,a close up of a red piece of netting,"['close', 'piece']",OOD
scaly_0222,a roof of a building with red roof tiles,"['roof', 'building', 'roof', 'tiles']",OOD
scaly_0216,a close up of the skin of a snake,"['close', 'skin', 'snake']",OOD
scaly_0207,a close up of a basket on a table,"['close', 'basket', 'table']",OOD
scaly_0201,a close up of a red snake skin purse,"['close', 'snake', 'skin', 'purse']",OOD
scaly_0164,a close up of a snake skin purse,"['close', 'snake', 'skin', 'purse']",OOD
scaly_0175,a close up of a piece of glass with a pattern on it,"['close', 'piece', 'glass', 'pattern']",OOD
scaly_0165,a close up of a snake skin and its tail,"['close', 'snake', 'skin', 'tail']",OOD
scaly_0183,a close up of a bunch of yellow flowers,"['close', 'bunch', 'flowers']",OOD
scaly_0185,a close up of a bed with a mattress,"['close', 'bed', 'mattress']",OOD
scaly_0122,a closeup of the texture of a blue snake skin rug,"['closeup', 'texture', 'snake', 'skin', 'rug']",OOD
scaly_0197,a close up of a sea turtle,"['close', 'sea', 'turtle']",OOD
scaly_0167,a closeup of the scales of a snake,"['closeup', 'scales', 'snake']",OOD
scaly_0180,a close up of the surface of a metal table,"['close', 'surface', 'metal', 'table']",OOD
scaly_0111,a close up of a metal grate with shadows on it,"['close', 'metal', 'grate', 'shadows']",OOD
scaly_0144,a close up of a stack of yellow baskets,"['close', 'stack', 'baskets']",OOD
scaly_0123,a close up of a carpet of gold and silver coins,"['close', 'carpet', 'gold', 'silver', 'coins']",OOD
scaly_0158,a close up of the nose of a green lizard,"['close', 'nose', 'lizard']",OOD
scaly_0141,a close up of a piece of weaving on a table,"['close', 'piece', 'table']",OOD
scaly_0161,a close up of a painting of a yellow wall,"['close', 'painting', 'wall']",OOD
scaly_0220,a close up of a green quilt,"['close', 'quilt']",OOD
scaly_0149,a close up of a rug with a pattern on it,"['close', 'rug', 'pattern']",OOD
scaly_0138,a green and white rug with a pattern on it,"['rug', 'pattern']",OOD
scaly_0199,a close up of a wall with diamond shaped tiles,"['close', 'wall', 'diamond', 'tiles']",OOD
scaly_0184,a close up of a piece of fabric with a pattern on it,"['close', 'piece', 'fabric', 'pattern']",OOD
scaly_0133,a pattern of cracked mud on the ground,"['pattern', 'mud', 'ground']",OOD
scaly_0191,a close up of a white bed,"['close', 'bed']",OOD
scaly_0156,a close up of the wing of a snake,"['close', 'wing', 'snake']",OOD
scaly_0200,a close up of the underside of a python skin,"['close', 'underside', 'python', 'skin']",OOD
scaly_0116,a close up of a table with a metal surface,"['close', 'table', 'metal', 'surface']",OOD
scaly_0137,a close up of a green crocheted fabric with a pattern,"['close', 'fabric', 'pattern']",OOD
scaly_0214,a close up of a green bottle,"['close', 'bottle']",OOD
scaly_0179,a glass bowl filled with glass bottles,"['glass', 'bowl', 'glass', 'bottles']",OOD
scaly_0142,a snake skin rug with a pattern on it,"['snake', 'skin', 'rug', 'pattern']",OOD
scaly_0154,a closeup of a snake skin rug with red hearts on it,"['closeup', 'snake', 'skin', 'rug', 'hearts']",OOD
scaly_0148,a close up of the pores of a fish,"['close', 'pores', 'fish']",OOD
scaly_0155,a close up of a fish in a body of water,"['close', 'fish', 'body', 'water']",OOD
scaly_0203,a close up of a piece of honeycomb,"['close', 'piece', 'honeycomb']",OOD
scaly_0202,a close up of the underside of a turtle,"['close', 'underside', 'turtle']",OOD
scaly_0107,a close up of a brown leather couch,"['close', 'leather', 'couch']",OOD
scaly_0131,the roof of a building in the shape of a bunch of coins,"['roof', 'building', 'shape', 'bunch', 'coins']",OOD
