n02123597_8723	a white cat is sleeping on a person's lap.	n02123597
n02123597_5224	a small cat looking out of a window.	n02123597
n02123597_6464	a cat laying on a blue chair.	n02123597
n02123597_9585	a man holding a cat in a chair.	n02123597
n02123597_11923	a couple of cats sitting next to each other.	n02123597
n02123597_396	a cat laying on top of a chair.	n02123597
n02123597_9531	a black and white cat with blue eyes.	n02123597
n02123597_3314	a dog sitting on a chair with a person.	n02123597
n02123597_11566	a couple of cats laying on a bed with a stuffed animal.	n02123597
n02123597_8003	a gray cat with a coca - cola can in its mouth.	n02123597
n02123597_18757	two cats sitting on a bed looking out a window.	n02123597
n02123597_4700	a cat is laying on a bed with a dog.	n02123597
n02123597_1673	a black and white cat sitting next to a blue tub.	n02123597
n02123597_727	a black and white cat with blue eyes.	n02123597
n02123597_482	a black and white cat sitting in a wicker basket.	n02123597
n02123597_4773	a small cat is looking up at the camera.	n02123597
n02123597_7457	a cat laying on the floor.	n02123597
n02123597_6380	a small animal looking out of a window.	n02123597
n02123597_13882	two black and white cats sitting next to a window.	n02123597
n02123597_9982	a small cat with blue eyes laying on a table.	n02123597
n02123597_13911	a black cat sitting in the back seat of a car.	n02123597
n02123597_426	a black and white cat with blue eyes.	n02123597
n02123597_5049	a white kitten with blue eyes laying on a blanket.	n02123597
n02123597_13706	a cat sitting on top of a suitcase in front of a window.	n02123597
n02123597_5764	a black and white cat laying on a bed.	n02123597
n02123597_11665	a cat sitting next to a plant.	n02123597
n02123597_5695	a black and white cat with blue eyes.	n02123597
n02123597_9993	a couple of cats sitting in a cat bed.	n02123597
n02123597_13772	a small cat is playing with a pole.	n02123597
n02123597_5514	a white cat is sitting down looking at the camera.	n02123597
n02123597_8799	a black and white cat laying on a white bed.	n02123597
n02123597_1152	a woman wearing sunglasses holding a black cat.	n02123597
n02123597_4104	a cat sitting on top of a window sill.	n02123597
n02123597_6758	a cat sitting on a bench in front of a green wall.	n02123597
n02123597_202	a man holding a small cat in his hands.	n02123597
n02123597_12941	a black cat laying on the floor next to a dresser.	n02123597
n02123597_10667	a cat sitting on top of a pizza box.	n02123597
n02123597_2017	a cat laying on a bed with its mouth open.	n02123597
n02123597_664	a gray cat is looking out of a screen window.	n02123597
n02123597_10289	a cat sitting on a table watching television.	n02123597
n02123597_10512	a black and white cat with blue eyes looking at a man.	n02123597
n02123597_6398	a small brown cat standing on a table.	n02123597
n02123597_12794	a cat sitting in a chair.	n02123597
n02123597_6721	a cat sitting on a window sill with its tongue out.	n02123597
n02123597_6003	a black and white cat laying on a bed.	n02123597
n02123597_32714	a black and white cat sitting in a plant by a window.	n02123597
n02123597_10285	a black and white cat sitting on a green couch.	n02123597
n02123597_1237	a man holding a small animal in his hand.	n02123597
n02123597_27170	a white cat is sitting next to a mirror.	n02123597
n02123597_78	a cat laying on a couch next to a doll.	n02123597
n02123597_3590	a small kitten is looking into the camera.	n02123597
n02123597_3921	a cat laying on a rug on a floor.	n02123597
n02123597_10921	a black cat sitting on a chair.	n02123597
n02123597_32226	a black and white cat with blue eyes.	n02123597
n02123597_1708	a black cat laying on a couch.	n02123597
n02123597_6451	a black and white duck laying on the ground.	n02123597
n02123597_6209	a black and white cat sitting in front of a mirror.	n02123597
n02123597_8675	a black and white cat sitting on a gray chair.	n02123597
n02123597_7012	a white and orange cat sleeping on a green blanket.	n02123597
n02123597_2295	a small cat with blue eyes looking up.	n02123597
n02123597_7266	a black and white cat sitting on a chair next to a potted plant.	n02123597
n02123597_1940	a person holding a gray and black cat with a blue collar.	n02123597
n02123597_11858	a black and white cat standing on a gravel road.	n02123597
n02123597_16975	a small orange and white cat laying on the ground.	n02123597
n02123597_5951	a black cat laying down in a window sill.	n02123597
n02123597_11763	two cats sleeping next to each other on a bed.	n02123597
n02123597_12190	a black and white cat sitting on a couch.	n02123597
n02123597_7068	two cats laying on a purple bed.	n02123597
n02123597_924	a group of kittens sitting in the grass next to plants.	n02123597
n02123597_12166	a small dog laying on a bed.	n02123597
n02123597_12687	a man is holding a small dog in his hands.	n02123597
n02123597_85	two small kittens sitting on a blanket on a bed.	n02123597
n02123597_2750	a white cat sitting on top of a bed.	n02123597
n02123597_6582	a group of kittens laying in a cat bed.	n02123597
n02123597_6350	a black and white cat sitting on the floor next to a desk.	n02123597
