ImageID,Caption,Nouns,Type
e5b0cbcfd41bc97138f64fc6d8d6aa7e,a white flower on a plant in the dirt,"['flower', 'plant', 'dirt']",OOD
7e3c66d2a61768b8cf8600ed63733778,a bunch of blackberries on a plant in the woods,"['bunch', 'blackberries', 'plant', 'woods']",OOD
e91aeb14ddc321a7778e00cd83e58290,a purple flower in the grass,"['flower', 'grass']",OOD
1cc46cdd5ffdd7cebf40f1b031595475,a plant with red berries on it in a garden,"['plant', 'berries', 'garden']",OOD
7d783570d93007c622adc34765ded805,a bunch of seed pods hanging from a tree,"['bunch', 'seed', 'pods', 'tree']",OOD
db4726ce0daa116ab2c7b295dd5f4352,a plant with small white flowers growing in the woods,"['plant', 'flowers', 'woods']",OOD
c66b5185ffa07d1c4b48aca2015683ca,a cluster of green leaves and buds on a tree,"['cluster', 'leaves', 'buds', 'tree']",OOD
0c0858755bc3be198f032ecb1db57cf3,a plant growing out of the side of a rock,"['plant', 'side', 'rock']",OOD
adeb5408706a8843834d3508cb280e05,a branch of a tree with green leaves,"['branch', 'tree', 'leaves']",OOD
accd1432b5ba37ae7dc203bf6afabf40,a tree with some leaves on it in the woods,"['tree', 'leaves', 'woods']",OOD
b7262d16cedcab0a175e5fd3b75ac47b,a close up of a plant with small white flowers on it,"['close', 'plant', 'flowers']",OOD
be872fcc339f6f503e13414d1e3551cd,a tree with green leaves in a forest,"['tree', 'leaves', 'forest']",OOD
25dea5889fa247602e5735acba4ca458,a close up of some grass in the woods,"['close', 'grass', 'woods']",OOD
d06f96c3da7ad1d90a9ebb74ad444b5f,a tree with green leaves,"['tree', 'leaves']",OOD
266eb30131fb47f149d98bbbf07ba74b,a bench sitting in front of a group of gas engines,"['bench', 'front', 'group', 'gas', 'engines']",OOD
fe7e67259282ee13e2bb71b9706ecda9,a tree with green leaves in the forest,"['tree', 'leaves', 'forest']",OOD
4872a0301ac56a8d25d2fdd7195c1de8,a pink flower on a tree in the grass,"['flower', 'tree', 'grass']",OOD
2d4ff1e7b1c8e749b374a6d2a9dfec60,a hand holding a small brown plant in the sunlight,"['hand', 'plant', 'sunlight']",OOD
d0e93f26a3d447f0aa9ac105f54abfe3,a tree with green leaves and red branches,"['tree', 'leaves', 'branches']",OOD
