ImageID,Caption,Nouns,Type
ILSVRC2012_val_00001829,a stream running over rocks in a forest,"['stream', 'rocks', 'forest']",OOD
ILSVRC2012_val_00031159,a reflection of trees in the water of a lake,"['reflection', 'trees', 'water', 'lake']",OOD
ILSVRC2012_val_00041897,a waterfall in the middle of a rocky river,"['waterfall', 'middle', 'river']",OOD
ILSVRC2012_val_00039403,a rushing river with rocks in the water,"['river', 'rocks', 'water']",OOD
ILSVRC2012_val_00018683,a view of the mountains from the top of a hill,"['view', 'mountains', 'top', 'hill']",OOD
ILSVRC2012_val_00041582,arial view of a river flowing through a green valley,"['view', 'river', 'valley']",OOD
ILSVRC2012_val_00039168,a river with a dam and a road next to it,"['river', 'dam', 'road']",OOD
ILSVRC2012_val_00015825,a foggy valley with mountains in the background and trees,"['valley', 'mountains', 'background', 'trees']",OOD
ILSVRC2012_val_00002506,a small waterfall in a stream in the forest,"['waterfall', 'stream', 'forest']",OOD
ILSVRC2012_val_00020172,a river flowing next to a stone pathway,"['river', 'stone', 'pathway']",OOD
ILSVRC2012_val_00045923,a woman is sitting on a rock next to a waterfall,"['woman', 'rock', 'waterfall']",OOD
ILSVRC2012_val_00033913,two people walking on rocks near a river,"['people', 'rocks', 'river']",OOD
ILSVRC2012_val_00000313,a river running through a field next to a tree,"['river', 'field', 'tree']",OOD
ILSVRC2012_val_00025327,a view of a town in a valley,"['view', 'town', 'valley']",OOD
ILSVRC2012_val_00043651,a river flowing through a forest with large rocks,"['river', 'forest', 'rocks']",OOD
ILSVRC2012_val_00010664,a lake with snow covered mountains reflected in it,"['lake', 'snow', 'mountains']",OOD
ILSVRC2012_val_00008318,a view of a valley with mountains and trees,"['view', 'valley', 'mountains', 'trees']",OOD
ILSVRC2012_val_00037143,a river flowing through a forest with rocks,"['river', 'forest', 'rocks']",OOD
ILSVRC2012_val_00009596,a river running through a field with mountains in the background,"['river', 'field', 'mountains', 'background']",OOD
ILSVRC2012_val_00037167,a waterfall in the middle of a river,"['waterfall', 'middle', 'river']",OOD
ILSVRC2012_val_00037477,a lake with mountains in the background and a cloudy sky,"['lake', 'mountains', 'background', 'sky']",OOD
ILSVRC2012_val_00032377,a train crossing a bridge over a river,"['train', 'bridge', 'river']",OOD
ILSVRC2012_val_00010344,a valley with a river and mountains in the background,"['valley', 'river', 'mountains', 'background']",OOD
ILSVRC2012_val_00043699,a river running through a lush green valley,['river'],OOD
ILSVRC2012_val_00031258,a small lake with mountains in the background and a cloudy sky,"['lake', 'mountains', 'background', 'sky']",OOD
ILSVRC2012_val_00028882,a view of the mountains from the top of a mountain,"['view', 'mountains', 'top', 'mountain']",OOD
ILSVRC2012_val_00032345,a river running through a mountain valley with rocks,"['river', 'mountain', 'valley', 'rocks']",OOD
ILSVRC2012_val_00038529,a view of a river flowing through a mountain valley,"['view', 'river', 'mountain', 'valley']",OOD
ILSVRC2012_val_00025853,a path in the mountains with a mountain in the background,"['path', 'mountains', 'mountain', 'background']",OOD
ILSVRC2012_val_00031161,a river in the middle of a valley surrounded by mountains,"['river', 'middle', 'valley', 'mountains']",OOD
ILSVRC2012_val_00002805,a view of a valley with mountains and trees,"['view', 'valley', 'mountains', 'trees']",OOD
ILSVRC2012_val_00030741,a river flowing through a forested mountainside,"['river', 'mountainside']",OOD
ILSVRC2012_val_00022232,a view from the top of a mountain overlooking a lake and mountains,"['view', 'top', 'mountain', 'lake', 'mountains']",OOD
ILSVRC2012_val_00032589,people are walking down a dirt path on a hill,"['people', 'dirt', 'path', 'hill']",OOD
ILSVRC2012_val_00036858,a view of a river from a cliff,"['view', 'river', 'cliff']",OOD
ILSVRC2012_val_00032298,a view of a valley with mountains in the background,"['view', 'valley', 'mountains', 'background']",OOD
ILSVRC2012_val_00015253,a river flowing through a mountain valley with snow covered mountains,"['river', 'mountain', 'valley', 'snow', 'mountains']",OOD
ILSVRC2012_val_00004259,an aerial view of a river in a valley,"['view', 'river', 'valley']",OOD
ILSVRC2012_val_00026860,a view of a river flowing through a valley with trees,"['view', 'river', 'valley', 'trees']",OOD
ILSVRC2012_val_00016644,a small waterfall in the middle of a rocky stream,"['waterfall', 'middle', 'stream']",OOD
ILSVRC2012_val_00044856,a river in the middle of a forest,"['river', 'middle', 'forest']",OOD
ILSVRC2012_val_00005742,a river flows through a rocky valley in the mountains,"['river', 'valley', 'mountains']",OOD
ILSVRC2012_val_00006570,a river running through a lush green forest,"['river', 'forest']",OOD
ILSVRC2012_val_00018748,a waterfall in the background and a river with rocks in the foreground,"['waterfall', 'background', 'river', 'rocks', 'foreground']",OOD
ILSVRC2012_val_00007658,a valley with a river and a town in the distance,"['valley', 'river', 'town', 'distance']",OOD
ILSVRC2012_val_00027506,a view of a green valley with mountains and a winding road,"['view', 'valley', 'mountains', 'road']",OOD
ILSVRC2012_val_00048786,a river flowing through a forest next to a stream,"['river', 'forest', 'stream']",OOD
ILSVRC2012_val_00039019,a waterfall in a body of water,"['waterfall', 'body', 'water']",OOD
ILSVRC2012_val_00012937,a view of a hill with a castle and a roller coaster in the background,"['view', 'hill', 'castle', 'roller', 'coaster', 'background']",OOD
ILSVRC2012_val_00018865,a dirt road in the middle of a valley,"['dirt', 'road', 'middle', 'valley']",OOD
ILSVRC2012_val_00038800,a broom that is sitting on the ground,"['broom', 'ground']",OOD
ILSVRC2012_val_00018911,a group of people standing together holding a stick,"['group', 'people', 'stick']",OOD
ILSVRC2012_val_00035100,a close up of a broom with a red rope,"['close', 'broom', 'rope']",OOD
ILSVRC2012_val_00016839,a man holding a baseball bat,"['man', 'baseball', 'bat']",OOD
ILSVRC2012_val_00040599,a group of young boys playing a game of broomball,"['group', 'boys', 'game']",OOD
ILSVRC2012_val_00042629,a broom sitting on a wooden railing,"['broom', 'railing']",OOD
ILSVRC2012_val_00009304,a broom is leaning against a brick wall,"['broom', 'brick', 'wall']",OOD
ILSVRC2012_val_00015359,a broom with grapes on top of it,"['broom', 'grapes', 'top']",OOD
ILSVRC2012_val_00005144,a green scrubbing brush on the ground,"['brush', 'ground']",OOD
ILSVRC2012_val_00045199,a bunch of brushes and other tools in a room,"['bunch', 'brushes', 'tools', 'room']",OOD
ILSVRC2012_val_00040693,a dog running with a toy in its mouth,"['dog', 'toy', 'mouth']",OOD
ILSVRC2012_val_00032789,a broom sitting next to a phone booth on a city street,"['broom', 'phone', 'booth', 'city', 'street']",OOD
ILSVRC2012_val_00007167,a broom leaning against a red wall,"['broom', 'wall']",OOD
ILSVRC2012_val_00004664,a broom is leaning against a brick wall,"['broom', 'brick', 'wall']",OOD
ILSVRC2012_val_00010279,a group of people standing around a hockey goal,"['group', 'people', 'hockey', 'goal']",OOD
ILSVRC2012_val_00013061,a praying mantis sitting on a bundle of bamboo,"['mantis', 'bundle', 'bamboo']",OOD
ILSVRC2012_val_00016296,a bunch of straw on the steps of a door,"['bunch', 'straw', 'steps', 'door']",OOD
ILSVRC2012_val_00030331,a small brown dog sitting on the ground with a rope,"['dog', 'ground', 'rope']",OOD
