ImageID,Caption,Nouns,Type
j_japanese_garden_00003775,a pond in a japanese garden,"['pond', 'garden']",OOD
v_vegetable_garden_00003104,an aerial view of a garden and a house,"['view', 'garden', 'house']",OOD
b_badlands_00001368,a couple of rock formations in the desert,"['couple', 'rock', 'formations', 'desert']",OOD
b_badlands_00003112,a group of hay bales in a field,"['group', 'hay', 'bales', 'field']",OOD
r_river_00002777,a view of a lake through the trees,"['view', 'lake', 'trees']",OOD
f_formal_garden_00004774,a set of stone steps in a garden,"['set', 'stone', 'steps', 'garden']",OOD
f_field_road_00003449,a dirt road in a field of tall grass,"['dirt', 'road', 'field', 'grass']",OOD
d_desert_road_00000550,an empty road in the desert with mountains,"['road', 'desert', 'mountains']",OOD
o_ocean_00004297,a wave in the water on a beach,"['wave', 'water', 'beach']",OOD
s_snowfield_00003969,a large body of water with mountains in the background,"['body', 'water', 'mountains', 'background']",OOD
s_swimming_hole_00003144,two men are swimming in a river,"['men', 'river']",OOD
v_vegetable_garden_00001848,a group of green ferns on the side of a road,"['group', 'ferns', 'side', 'road']",OOD
f_field_cultivated_00003308,a view of a field with a city in the background,"['view', 'field', 'city', 'background']",OOD
t_tree_farm_00003118,a view of a lush green forest from above,"['view', 'forest']",OOD
r_rock_arch_00004809,a natural arch in the side of a rock,"['arch', 'side', 'rock']",OOD
i_ice_shelf_00001086,a reflection of a glacier in the water,"['reflection', 'glacier', 'water']",OOD
o_ocean_00003108,a pier on the beach with waves in the water,"['pier', 'beach', 'waves', 'water']",OOD
l_lagoon_00003031,a sandy beach with the ocean and a cloudy sky,"['beach', 'ocean', 'sky']",OOD
h_hayfield_00004471,a man walking a dog on a leash,"['man', 'dog', 'leash']",OOD
u_underwater_ocean_deep_00000641,a boy is in the water with a dolphin,"['boy', 'water', 'dolphin']",OOD
f_field_wild_00004105,a group of people standing in a field with a dog,"['group', 'people', 'field', 'dog']",OOD
f_forest_road_00002567,a road winding through a forest with trees,"['road', 'forest', 'trees']",OOD
c_creek_00002990,a body of water with trees and a bridge,"['body', 'water', 'trees', 'bridge']",OOD
g_glacier_00002913,a glacier seen through the trees in the mountains,"['glacier', 'trees', 'mountains']",OOD
j_japanese_garden_00000399,a japanese garden with a pond and trees,"['garden', 'pond', 'trees']",OOD
g_glacier_00002294,a large glacier on the side of the water,"['glacier', 'side', 'water']",OOD
Places365_val_00029781,a row of blossoming trees on the side of a road,"['row', 'trees', 'side', 'road']",OOD
r_rice_paddy_00002146,a plant with red flowers in a field,"['plant', 'flowers', 'field']",OOD
f_formal_garden_00004359,a row of benches in front of a greenhouse,"['row', 'benches', 'front', 'greenhouse']",OOD
