,ImageID,Caption,Nouns,Type
0,ILSVRC2012_val_00000651,biological species in the snow.,"['species', 'snow']",OOD
1,ILSVRC2012_val_00000747,biological species on a branch.,"['species', 'branch']",OOD
2,ILSVRC2012_val_00002023,biological species in the snow.,"['species', 'snow']",OOD
3,ILSVRC2012_val_00002191,biological species on the ground.,"['species', 'ground']",OOD
4,ILSVRC2012_val_00002425,biological species in the snow.,"['species', 'snow']",OOD
5,ILSVRC2012_val_00002730,biological species on a feeder.,"['species', 'feeder']",OOD
6,ILSVRC2012_val_00004006,bird on the roof of a house.,"['bird', 'roof', 'house']",OOD
7,ILSVRC2012_val_00006526,biological species perched on a branch.,"['species', 'branch']",OOD
8,ILSVRC2012_val_00006763,biological species on a branch.,"['species', 'branch']",OOD
9,ILSVRC2012_val_00010393,biological species in a tree.,"['species', 'tree']",OOD
10,ILSVRC2012_val_00010689,biological species on a branch.,"['species', 'branch']",OOD
11,ILSVRC2012_val_00010999,biological species in the snow.,"['species', 'snow']",OOD
12,ILSVRC2012_val_00011249,biological species in a bird feeder.,"['species', 'bird', 'feeder']",OOD
13,ILSVRC2012_val_00012814,biological species on a branch.,"['species', 'branch']",OOD
14,ILSVRC2012_val_00013512,biological species in the snow.,"['species', 'snow']",OOD
15,ILSVRC2012_val_00015223,biological species perched on a branch.,"['species', 'branch']",OOD
16,ILSVRC2012_val_00016476,biological species in the snow.,"['species', 'snow']",OOD
17,ILSVRC2012_val_00016548,biological species in the snow.,"['species', 'snow']",OOD
18,ILSVRC2012_val_00020889,biological species on a branch.,"['species', 'branch']",OOD
19,ILSVRC2012_val_00023441,biological species in the snow.,"['species', 'snow']",OOD
20,ILSVRC2012_val_00023698,biological species in the snow.,"['species', 'snow']",OOD
21,ILSVRC2012_val_00023766,flock of birds flying in the sky.,"['flock', 'birds', 'sky']",OOD
22,ILSVRC2012_val_00025347,biological species in the snow.,"['species', 'snow']",OOD
23,ILSVRC2012_val_00025488,biological species on the ground.,"['species', 'ground']",OOD
24,ILSVRC2012_val_00026673,biological species on a branch.,"['species', 'branch']",OOD
25,ILSVRC2012_val_00026784,biological species in a fountain.,"['species', 'fountain']",OOD
26,ILSVRC2012_val_00027374,biological species on a branch.,"['species', 'branch']",OOD
27,ILSVRC2012_val_00027507,biological species in the snow.,"['species', 'snow']",OOD
28,ILSVRC2012_val_00027619,biological species perched on a branch.,"['species', 'branch']",OOD
29,ILSVRC2012_val_00028902,biological species in the grass.,"['species', 'grass']",OOD
30,ILSVRC2012_val_00030224,biological species in the snow.,"['species', 'snow']",OOD
31,ILSVRC2012_val_00033092,biological species perched on a branch.,"['species', 'branch']",OOD
32,ILSVRC2012_val_00033580,biological species on a branch.,"['species', 'branch']",OOD
33,ILSVRC2012_val_00034018,biological species on a bird feeder.,"['species', 'bird', 'feeder']",OOD
34,ILSVRC2012_val_00034864,biological species in a tree.,"['species', 'tree']",OOD
35,ILSVRC2012_val_00035540,biological species in the snow.,"['species', 'snow']",OOD
36,ILSVRC2012_val_00035872,biological species in the snow.,"['species', 'snow']",OOD
37,ILSVRC2012_val_00037116,biological species in a pine tree.,"['species', 'tree']",OOD
38,ILSVRC2012_val_00037748,biological species in the snow.,"['species', 'snow']",OOD
39,ILSVRC2012_val_00038895,biological species on a branch.,"['species', 'branch']",OOD
40,ILSVRC2012_val_00043788,biological species in the snow.,"['species', 'snow']",OOD
41,ILSVRC2012_val_00045172,biological species on a branch.,"['species', 'branch']",OOD
42,ILSVRC2012_val_00045389,biological species in the snow.,"['species', 'snow']",OOD
43,ILSVRC2012_val_00045415,biological species in the snow.,"['species', 'snow']",OOD
44,ILSVRC2012_val_00045611,biological species in the snow.,"['species', 'snow']",OOD
45,ILSVRC2012_val_00046751,biological species on the trail.,"['species', 'trail']",OOD
46,ILSVRC2012_val_00046833,biological species on a feeder.,"['species', 'feeder']",OOD
47,ILSVRC2012_val_00047878,biological species on a feeder.,"['species', 'feeder']",OOD
48,ILSVRC2012_val_00047914,biological species in the snow.,"['species', 'snow']",OOD
49,ILSVRC2012_val_00049568,biological species on a branch.,"['species', 'branch']",OOD
50,ILSVRC2012_val_00001652,a close - up of biological species.,"['close', 'up', 'species']",OOD
51,ILSVRC2012_val_00003748,frog sitting on a rock.,"['frog', 'rock']",OOD
52,ILSVRC2012_val_00004613,close up of a frog.,['frog'],OOD
53,ILSVRC2012_val_00004945,biological species feeding on a fish.,"['species', 'fish']",OOD
54,ILSVRC2012_val_00005045,close - up of a green frog.,"['up', 'frog']",OOD
55,ILSVRC2012_val_00006409,biological species in the garden.,"['species', 'garden']",OOD
56,ILSVRC2012_val_00009563,biological species in the garden.,"['species', 'garden']",OOD
57,ILSVRC2012_val_00010287,biological species on a branch.,"['species', 'branch']",OOD
58,ILSVRC2012_val_00011664,close - up of a green frog.,"['up', 'frog']",OOD
59,ILSVRC2012_val_00012151,frogs that look like other animals - photo #.,"['frogs', 'animals', 'photo', '#']",OOD
60,ILSVRC2012_val_00012558,biological species in a tree.,"['species', 'tree']",OOD
61,ILSVRC2012_val_00013974,frogs that look like other animals - photo #.,"['frogs', 'animals', 'photo', '#']",OOD
62,ILSVRC2012_val_00014227,biological species basking in the sun.,"['species', 'sun']",OOD
63,ILSVRC2012_val_00014735,a close - up of biological species.,"['close', 'up', 'species']",OOD
64,ILSVRC2012_val_00016782,biological species on a branch.,"['species', 'branch']",OOD
65,ILSVRC2012_val_00017669,biological species on a rock.,"['species', 'rock']",OOD
66,ILSVRC2012_val_00018160,biological species basking in the sun.,"['species', 'sun']",OOD
