,ImageID,Caption,Nouns,Type
0,banded_0002,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
1,banded_0004,seamless pattern in the style of polka dot.,"['pattern', 'style']",OOD
2,banded_0005,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
3,banded_0006,seamless patterned texture in the form of square tiles.,"['texture', 'form', 'tiles']",OOD
4,banded_0008,seamless pattern with white polka dots on a green background.,"['pattern', 'dots', 'background']",OOD
5,banded_0009,black and white checkered pattern on a white background vector art illustration.,"['pattern', 'background', 'vector', 'art', 'illustration']",OOD
6,banded_0010,seamless pattern with pink and yellow stripes on a white background.,"['pattern', 'stripes', 'background']",OOD
7,banded_0011,i pinned industry from the event at person and main!.,"['industry', 'event', 'person']",OOD
8,banded_0012,seamless pattern with white stripes on a yellow background vector art illustration.,"['pattern', 'stripes', 'background', 'vector', 'art', 'illustration']",OOD
9,banded_0013,seamless pattern with pink and blue stripes on a white background vector.,"['pattern', 'stripes', 'background', 'vector']",OOD
10,banded_0016,striped wallpaper in the style of art period.,"['wallpaper', 'style', 'art', 'period']",OOD
11,banded_0019,"colorful stripes by person, via photo sharing website.","['stripes', 'person', 'photo', 'sharing', 'website']",OOD
12,banded_0021,i pinned industry from the event at person and main!.,"['industry', 'event', 'person']",OOD
13,banded_0022,close - up of a red and orange striped fabric.,"['up', 'fabric']",OOD
14,banded_0023,close - up of a blue and white checkered pattern.,"['up', 'pattern']",OOD
15,banded_0024,blue and white striped pattern on a white background.,"['pattern', 'background']",OOD
16,banded_0025,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
17,banded_0030,"a blog about quilting, sewing and fabric.","['blog', 'quilting', 'sewing', 'fabric']",OOD
18,banded_0033,seamless pattern in the style of the 80s.,"['pattern', 'style', '80s']",OOD
19,banded_0034,how to choose the right paint color for your home.,"['paint', 'color', 'home']",OOD
20,banded_0036,blue lines on a white background vector art illustration.,"['lines', 'background', 'vector', 'art', 'illustration']",OOD
21,banded_0037,seamless pattern with stripes of blue on a black background -- stock vector #.,"['pattern', 'stripes', 'blue', 'background', 'stock', 'vector', '#']",OOD
22,banded_0039,seamless pattern with the image of an old - fashioned circuit board.,"['pattern', 'image', 'circuit', 'board']",OOD
23,banded_0041,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
24,banded_0042,abstract lines in the style of painting artist.,"['lines', 'style', 'artist']",OOD
25,banded_0043,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
26,banded_0044,striped black and white vector illustration of a seamless repeating pattern.,"['vector', 'illustration', 'pattern']",OOD
27,banded_0045,seamless pattern with white and red ribbons on a red background vector art illustration.,"['pattern', 'ribbons', 'background', 'vector', 'art', 'illustration']",OOD
28,banded_0046,seamless pattern with white polka dots on a light blue background vector.,"['pattern', 'dots', 'background', 'vector']",OOD
29,banded_0047,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
30,banded_0049,stripes in the style of painting artist.,"['stripes', 'style', 'artist']",OOD
31,banded_0051,abstract cgi motion graphics and animated background of blue and yellow lines and dots spinning in a spiral and being trippy.,"['motion', 'graphics', 'background', 'lines', 'dots', 'spiral']",OOD
32,banded_0053,seamless patterned texture in the form of square tiles.,"['texture', 'form', 'tiles']",OOD
33,banded_0055,seamless pattern with pink stripes on a white background.,"['pattern', 'stripes', 'background']",OOD
34,banded_0057,stripes by person in beautiful frame options and a variety of sizes.,"['stripes', 'person', 'frame', 'options', 'variety', 'sizes']",OOD
35,banded_0058,purple and white striped wallpaper in the living room.,"['wallpaper', 'living', 'room']",OOD
36,banded_0059,seamless pattern with striped stripes on a light background vector art illustration.,"['pattern', 'stripes', 'background', 'vector', 'art', 'illustration']",OOD
37,banded_0060,seamless pattern with tropical palm leaves on a pink background.,"['pattern', 'palm', 'leaves', 'background']",OOD
38,banded_0061,seamless pattern with white polka dots on a violet background vector.,"['pattern', 'dots', 'violet', 'background', 'vector']",OOD
39,banded_0062,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
40,banded_0063,sewing pattern by person in beautiful frame options and a variety of sizes.,"['sewing', 'pattern', 'person', 'frame', 'options', 'variety', 'sizes']",OOD
41,banded_0064,seamless patterned texture in the form of square tiles.,"['texture', 'form', 'tiles']",OOD
42,banded_0066,seamless texture with 3d rendering abstract fractal purple pattern on a white background for fabric design.,"['texture', 'pattern', 'background', 'fabric', 'design']",OOD
43,banded_0067,"abstract image, colorful graphics and tapestries it can be used as a pattern for the fabric.","['image', 'graphics', 'tapestries', 'pattern', 'fabric']",OOD
44,banded_0068,seamless pattern with pink stripes on a white background vector art illustration.,"['pattern', 'stripes', 'background', 'vector', 'art', 'illustration']",OOD
45,banded_0069,seamless pattern with pink and blue stripes on a white background vector.,"['pattern', 'stripes', 'background', 'vector']",OOD
