,ImageID,Caption,Nouns,Type
0,Places365_val_00000382,businessman with a suitcase in the desert.,"['businessman', 'suitcase', 'desert']",OOD
1,Places365_val_00000566,motorcycle rider on a dirt road.,"['motorcycle', 'rider', 'dirt', 'road']",OOD
2,Places365_val_00000692,view of the pond from the garden.,"['view', 'pond', 'garden']",OOD
3,Places365_val_00000716,mountain range in the distance.,"['mountain', 'range', 'distance']",OOD
4,Places365_val_00000871,little girl playing in the park.,"['girl', 'park']",OOD
5,Places365_val_00001135,early stage construction of a villa featuring the car port.,"['stage', 'construction', 'villa', 'car', 'port']",OOD
6,Places365_val_00001731,penguins on the ice floe.,"['penguins', 'ice']",OOD
7,Places365_val_00001917,view of the glacier from the summit.,"['view', 'summit']",OOD
8,Places365_val_00002484,coral reef outside the island.,"['reef', 'island']",OOD
9,Places365_val_00002906,snow on a frozen pond.,"['snow', 'pond']",OOD
10,Places365_val_00003155,aerial view of a snow covered mountain range.,"['view', 'snow', 'mountain', 'range']",OOD
11,Places365_val_00003258,an image of landscape by visual artist.,"['image', 'landscape', 'artist']",OOD
12,Places365_val_00003636,driving a car on a desert road.,"['car', 'desert', 'road']",OOD
13,Places365_val_00003770,rock formations on the beach.,"['rock', 'formations', 'beach']",OOD
14,Places365_val_00003785,tourist attraction is one of the most popular tourist attractions.,"['tourist', 'attraction', 'tourist', 'attractions']",OOD
15,Places365_val_00003945,a flock of migratory birds in flight.,"['flock', 'birds', 'flight']",OOD
16,Places365_val_00004456,a city is one of the most polluted cities in the world.,"['city', 'cities', 'world']",OOD
17,Places365_val_00004878,dead tree in the desert.,"['tree', 'desert']",OOD
18,Places365_val_00004932,aerial view of a bridge over river.,"['view', 'bridge', 'river']",OOD
19,Places365_val_00004952,geographical feature category in the world.,"['feature', 'category', 'world']",OOD
20,Places365_val_00005196,glacial icebergs slowly melting into the lake through global warming.,"['icebergs', 'lake', 'warming']",OOD
21,Places365_val_00005323,a daytime establishing shot of a typical home.,"['daytime', 'shot', 'home']",OOD
22,Places365_val_00005326,mountain range on a foggy day.,"['mountain', 'range', 'day']",OOD
23,Places365_val_00005409,portrait of a young woman.,"['portrait', 'woman']",OOD
24,Places365_val_00005572,glacial iceberg slowly melting into the lake through global warming fps.,"['iceberg', 'lake', 'warming', 'fps']",OOD
25,Places365_val_00005880,biological species on the water.,"['species', 'water']",OOD
26,Places365_val_00005972,person standing in front of a waterfall.,"['person', 'front', 'waterfall']",OOD
27,Places365_val_00006327,tourist attraction is one of the most popular tourist attractions.,"['tourist', 'attraction', 'tourist', 'attractions']",OOD
28,Places365_val_00006338,automobile model in the mud.,"['automobile', 'model', 'mud']",OOD
29,Places365_val_00006571,wheat ears swaying in the wind.,"['wheat', 'ears', 'wind']",OOD
30,Places365_val_00006777,rural dirt road in the field -- stock photo #.,"['dirt', 'road', 'field', 'stock', 'photo', '#']",OOD
31,Places365_val_00006820,a city in the winter.,"['city', 'winter']",OOD
32,Places365_val_00007223,smoke billows from a brush fire.,"['smoke', 'brush', 'fire']",OOD
33,Places365_val_00007230,tourists kayaking in a river.,"['tourists', 'river']",OOD
34,Places365_val_00007339,tourist attraction in the evening.,"['tourist', 'attraction', 'evening']",OOD
35,Places365_val_00007382,geographical feature category in the world.,"['feature', 'category', 'world']",OOD
36,Places365_val_00007613,ploughing up a stubble field ready for planting.,['field'],OOD
37,Places365_val_00007825,a view of the park.,"['view', 'park']",OOD
38,Places365_val_00007839,view from the top of the hill.,"['view', 'top', 'hill']",OOD
39,Places365_val_00007907,geographical feature category in the rainforest.,"['feature', 'category', 'rainforest']",OOD
40,Places365_val_00008349,tourist attraction in the spring.,"['tourist', 'attraction', 'spring']",OOD
41,Places365_val_00008800,trees growing in a field.,"['trees', 'field']",OOD
42,Places365_val_00008890,original fine art by person.,"['art', 'person']",OOD
43,Places365_val_00009365,a dirt road through the desert.,"['dirt', 'road', 'desert']",OOD
44,Places365_val_00009423,one of the many waterfalls.,['waterfalls'],OOD
45,Places365_val_00009498,flowers for sale at the flower market.,"['flowers', 'sale', 'flower', 'market']",OOD
46,Places365_val_00009521,black and white photograph of a sand dune.,"['photograph', 'sand', 'dune']",OOD
47,Places365_val_00009533,tourist attraction in the fog.,"['tourist', 'attraction', 'fog']",OOD
48,Places365_val_00009627,accommodation type by the lake.,"['accommodation', 'type', 'lake']",OOD
49,Places365_val_00009704,"garden design ideas - if you have a small garden, you probably have been as guilty as the rest of us by not doing much to provide a welcoming environment.","['garden', 'design', 'ideas', 'garden', 'rest', 'environment']",OOD
50,Places365_val_00010635,snowboarder on the slope of the mountain.,"['slope', 'mountain']",OOD
51,Places365_val_00010907,the bamboo forest is one of the world's oldest living trees.,"['bamboo', 'forest', 'world', 'living', 'trees']",OOD
52,Places365_val_00010913,property image # farm house on an acre meadow right below scenic mt.,"['property', 'image', '#', 'farm', 'house', 'acre', 'meadow', 'mt']",OOD
53,Places365_val_00011191,i want to do this with my legs!.,['legs'],OOD
54,Places365_val_00011330,tourist attraction which includes a waterfall or stream as well as a small group of people.,"['tourist', 'attraction', 'waterfall', 'group', 'people']",OOD
55,Places365_val_00011538,geographical feature category in the fall.,"['feature', 'category', 'fall']",OOD
56,Places365_val_00011915,view of the river from the bridge.,"['view', 'river', 'bridge']",OOD
57,Places365_val_00012510,suspension bridge from the top.,"['suspension', 'bridge', 'top']",OOD
58,Places365_val_00012523,a walk in the woods.,"['walk', 'woods']",OOD
59,Places365_val_00012675,a small waterfall in the mountains.,"['waterfall', 'mountains']",OOD
60,Places365_val_00012755,biological species in the water.,"['species', 'water']",OOD
61,Places365_val_00012775,climbing to the top of the mountain.,"['top', 'mountain']",OOD
62,Places365_val_00012863,tourist attraction in the desert.,"['tourist', 'attraction', 'desert']",OOD
63,Places365_val_00012987,one of the many signs along the route.,"['signs', 'route']",OOD
64,Places365_val_00013213,tourist attraction which includes a park as well as a small group of people.,"['tourist', 'attraction', 'park', 'group', 'people']",OOD
65,Places365_val_00013424,mangrove trees in a pond.,"['trees', 'pond']",OOD
66,Places365_val_00013662,a file photo of a container ship.,"['file', 'photo', 'container', 'ship']",OOD
67,Places365_val_00014204,the start of the race.,"['start', 'race']",OOD
68,Places365_val_00014241,mountain range in the distance.,"['mountain', 'range', 'distance']",OOD
69,Places365_val_00014373,beach on a sunny day.,"['beach', 'day']",OOD
70,Places365_val_00014459,palm trees along the beach.,"['trees', 'beach']",OOD
71,Places365_val_00014677,geographical feature category in the mountains.,"['feature', 'category', 'mountains']",OOD
72,Places365_val_00014866,tourist attraction is a slot canyon located.,"['tourist', 'attraction', 'slot', 'canyon']",OOD
73,Places365_val_00015009,view of the cactus from the trail.,"['view', 'cactus', 'trail']",OOD
74,Places365_val_00015308,kids playing in a christmas tree.,"['kids', 'tree']",OOD
75,Places365_val_00015427,path in the forest - photo sharing!.,"['path', 'forest', 'photo', 'sharing']",OOD
76,Places365_val_00015543,sunset over bodies of water.,"['sunset', 'bodies', 'water']",OOD
77,Places365_val_00016029,biological species swims under the surface of the ocean.,"['species', 'surface', 'ocean']",OOD
78,Places365_val_00016133,tractor working in a field.,"['tractor', 'field']",OOD
79,Places365_val_00016231,view from the top of the mountain.,"['view', 'top', 'mountain']",OOD
80,Places365_val_00016268,christmas tree in the woods.,"['tree', 'woods']",OOD
81,Places365_val_00016293,a man paddles his kayak down a flooded road.,"['man', 'kayak', 'road']",OOD
82,Places365_val_00016809,"property image # house m from the center with internet, air conditioning, parking.","['property', 'image', '#', 'house', 'center', 'internet', 'air', 'conditioning', 'parking']",OOD
83,Places365_val_00016824,a view of the marsh.,"['view', 'marsh']",OOD
84,Places365_val_00017018,aerial view of a waterfall.,"['view', 'waterfall']",OOD
85,Places365_val_00017251,palm trees in the garden.,"['trees', 'garden']",OOD
86,Places365_val_00017752,ancient walls of the city.,"['walls', 'city']",OOD
87,Places365_val_00017868,tourist attraction is one of the world's oldest trees.,"['tourist', 'attraction', 'world', 'trees']",OOD
88,Places365_val_00018155,time lapse of clouds moving over a field.,"['time', 'lapse', 'clouds', 'field']",OOD
89,Places365_val_00018513,a surfer gets barreled on a big wave.,"['surfer', 'wave']",OOD
90,Places365_val_00018673,a dirt road through a corn field.,"['dirt', 'road', 'corn', 'field']",OOD
91,Places365_val_00018717,tourist attraction is one of the world's oldest trees.,"['tourist', 'attraction', 'world', 'trees']",OOD
92,Places365_val_00018908,"property image # - at the top of the world with mountain views, hot tub, game table, and more!.","['property', 'image', '#', 'top', 'world', 'mountain', 'views', 'tub', 'game', 'table']",OOD
93,Places365_val_00018940,road in the fall colors.,"['road', 'fall', 'colors']",OOD
94,Places365_val_00019111,"property image # apartment right on the beach, on the boulevard.","['property', 'image', '#', 'apartment', 'beach', 'boulevard']",OOD
95,Places365_val_00019490,the road through the forest.,"['road', 'forest']",OOD
96,Places365_val_00019616,aerial view of a desert landscape.,"['view', 'desert', 'landscape']",OOD
97,Places365_val_00019640,sun shining through the trees.,"['sun', 'trees']",OOD
98,Places365_val_00019914,tourists sit around a campfire on the sand dunes.,"['tourists', 'campfire', 'sand', 'dunes']",OOD
99,Places365_val_00019961,"property image # house m from the center with internet, air conditioning, parking.","['property', 'image', '#', 'house', 'center', 'internet', 'air', 'conditioning', 'parking']",OOD
100,Places365_val_00020036,aerial view of a meadow full of wildflowers.,"['view', 'meadow', 'wildflowers']",OOD
101,Places365_val_00020305,ruins of the ancient city.,"['ruins', 'city']",OOD
102,Places365_val_00020329,a climber reaches the top of a glacier.,"['climber', 'top', 'glacier']",OOD
103,Places365_val_00020487,a city in the winter.,"['city', 'winter']",OOD
104,Places365_val_00020632,a close - up of a bunch of olives.,"['close', 'up', 'bunch', 'olives']",OOD
105,Places365_val_00020684,biological species growing in a field.,"['species', 'field']",OOD
