,ImageID,Caption,Nouns,Type
0,000309dd0c724a5104df8e716b9008a0,biological genus in the garden.,"['genus', 'garden']",OOD
1,0008e0e9c0ec7ec8f1fb69998ae29887,yellow flower in the garden.,"['flower', 'garden']",OOD
2,00127e8ef745cbcae899b3ffa1fb063f,biological genus growing in a field.,['field'],OOD
3,00162ede2ae8122a820fe6821c973334,biological genus growing in the grass.,['grass'],OOD
4,00196f9ff3a7d78eb79570d37caba9c2,biological species growing on the side of the road.,"['species', 'side', 'road']",OOD
5,002201d30ffeb436a4554d6ec91eaa15,biological species is one of my favorite plants.,"['species', 'plants']",OOD
6,0025a9afd46b529a7d55da0092c4448a,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
7,003308ac00fdb954aa9a7cea6d6f75c1,a field of yellow flowers.,"['field', 'flowers']",OOD
8,004a669cc6dc01427fec00bdde0fba32,biological species in the garden.,"['species', 'garden']",OOD
9,0056ec7a8519964fd12fba2bf2a533ba,the bark of a tree.,"['bark', 'tree']",OOD
10,005e1b003943859fb8aed4631b03b1ad,biological species in the forest.,"['species', 'forest']",OOD
11,00619eb55021997654d3fb514ab0716f,this is what the tree looked like after it was cut down.,['tree'],OOD
12,0061d1656328192f1846046e73889f5a,a close up of the flowers.,"['close', 'flowers']",OOD
13,00634f5e11a1502812eb7e8148973f03,a plant growing in a field.,"['plant', 'field']",OOD
14,00645b975b7d88f6b3fa2e1a21640177,biological species in the garden.,"['species', 'garden']",OOD
15,007044d38d1bfecea2d563d7c29c6aeb,biological species in bloom in the spring.,"['species', 'bloom', 'spring']",OOD
16,007de68c8215d9e6e4250f5591a1f54f,biological genus growing on a tree.,"['genus', 'tree']",OOD
17,008971a1d5302f430a3c7a11613299d4,trees growing on the edge of a cliff.,"['trees', 'edge', 'cliff']",OOD
18,008b370bf9d83f093eca7325ecea09fc,a close - up of the leaf.,"['close', 'up', 'leaf']",OOD
19,008eb52c9dc8e528e6f9bf7ff4051a27,biological species is a common shrub.,"['species', 'shrub']",OOD
20,0095c5c7643a8919f3fbf54b8df43726,this is the first time i've ever seen a leaf like this in my garden.,"['time', 'leaf', 'garden']",OOD
21,009c939ed0cd652b54beb2504300600c,biological species growing on a tree.,"['species', 'tree']",OOD
22,00b0af05470596f9eafc4012b489f1de,yellow flowers in the meadow.,"['flowers', 'meadow']",OOD
23,00cabf289d4be9cbc1ee4244cfd235c8,a close - up of the flowers.,"['close', 'up', 'flowers']",OOD
24,00d85fb9b279828dda42fe25dd39271c,one of the many oak trees along the trail.,"['oak', 'trees', 'trail']",OOD
25,00e019b42a68d28c224ba3abe703a60f,a close up of the berries.,"['close', 'berries']",OOD
26,00e947cf9321c20774f49b22ffb85b67,biological species in the grass.,"['species', 'grass']",OOD
27,00ecdfbe2f60974a664a1b012af2f499,this is the first time i've seen this kind of flower in my garden.,"['time', 'kind', 'flower', 'garden']",OOD
28,00f1cde328a74670d3fb609b71c947f3,some of the trees we saw along the way.,"['trees', 'way']",OOD
29,00fd1c00468cc62b2b11bbe160e7765c,biological species in the forest.,"['species', 'forest']",OOD
30,010133defca7b3b3ad8cf46da3266107,biological phylum on a tree.,"['phylum', 'tree']",OOD
31,01060ad7b02a825be55aee21d10bf143,this is the first time i've seen wildflowers in bloom.,"['time', 'wildflowers', 'bloom']",OOD
32,010ac38e477a28a5f2840074f057453f,flowers that look like they've been eaten by a snake.,"['flowers', 'snake']",OOD
33,010caba25f3b9622a256d62af61b74bb,a close - up of the tiny purple flowers.,"['close', 'up', 'flowers']",OOD
34,010e2220dea08db2b9c75184c10361da,biological genus in the grass.,"['genus', 'grass']",OOD
35,010fea88b4cb42d725aeec7e644d0755,dandelion in the wild - photo #.,"['dandelion', 'photo', '#']",OOD
36,0113271c70fef97cee5277d2af054dca,biological species growing in a field.,"['species', 'field']",OOD
37,0113acf069c0b15962abaee47d4c90d8,panning shot of a tree with flowers.,"['shot', 'tree', 'flowers']",OOD
38,011a02dee997a61ec874dee1ee10f9c5,biological species in bloom along the trail.,"['species', 'bloom', 'trail']",OOD
39,011ac4cc62a060b079e2047d2c5d067e,biological species in the wild.,"['species', 'wild']",OOD
40,0126162688130bef12c3cca735b4cce6,ferns and ferns in the rainforest.,"['ferns', 'ferns', 'rainforest']",OOD
41,01279746740b479242b2f49bc0b90227,biological species on a branch.,"['species', 'branch']",OOD
